author	book_name	number	status	type_
陆游器	大周第一神捕，你管这叫狗腿子？	434405	连载	东方玄幻
晨昏彼岸	开局捡黄蓉，黄老邪找上	46137	连载	传统武侠
官场浪子	权力巅峰，当盛唐权臣转生现代后！	616200	连载	都市重生
幽幽风	魂穿异世嘎嘎乱杀	49349	连载	异界大陆
闪闪繁星	三国：开局献计曹操，成立摸金校尉	1444084	连载	历史穿越
昨惜过客	苍源界	609096	连载	异界大陆
晨昏彼岸	我在网游世界不走寻常路	106748	连载	虚拟网游
三度春秋	西游：我欲成佛，还请佛祖退位！	83154	连载	东方玄幻
梦神农	死去活来，他从坟墓中爬出	604102	连载	都市异能
麒麟歌	麟柳	100830	连载	现实题材
化作孤岛的鲸	灵宠战纪	10110	连载	异界大陆
秃头小怪	抗战之烽火燃血	944876	连载	战史风云
我的狗皮膏药	九转星辰诀	4856819	连载	东方玄幻
子午居士	医馆里的故事	135970	连载	架空历史
原鹰大侠	天杀明京	77302	连载	传统武侠
向阳的心	我镇南王世子，你让我干点正事？	159797	连载	历史穿越
最后的河川	CNC苍蓝暮光	8077561	连载	男生同人
无无易	天之渡	215616	连载	古典仙侠
湖龙	妖：羽	607505	连载	古典仙侠
沈处默	乾坤已定	383851	连载	历史传奇
赤赤威名	三国：开局被赐婚？老婆竟是貂蝉	145770	连载	架空历史
墨以成瑰	神殉:羊图霸业	2218553	连载	东方玄幻
圣城小石匠	都市修仙之我是制药师	6409	连载	都市异能
道听途说的他	女侠饶命，我真是正人君子	212284	连载	东方玄幻
夜色署	回寂	467457	连载	校园风云
早雾兰因	随机分化日志	36201	连载	未来幻想
翻滚	大明：让你当败家子，你混成了摄政王	271456	连载	历史穿越
冷炼笙	全球废土：开局搬空一座城	541202	连载	进化变异
童园无忌	重生：回到1992当土豪	1222587	连载	都市重生
太玄上人	开局朋友被杀可尸体消失了	485277	连载	都市异能
白风筝	光约	96492	连载	东方玄幻
人云双月	神龙四少2	273513	连载	古典仙侠
万万想不到	道门天才	2290643	连载	东方玄幻
林孝鹏	林医生到大槐树村	2589	连载	都市生活
仰望黑夜	苟在妖武乱世当狱卒	1216980	连载	异术超能
闪闪繁星	手握百万雄兵，你让朕起兵勤王	163985	连载	架空历史
有鑫	3010年的地球	43721	连载	未来幻想
甜豆小泽	宙之生	10271	连载	奇幻修真
摇滚菠萝糖	我的未来不可能是悲剧	77018	连载	都市生活
张龙宝q	潜罪2001	116063	连载	现实题材
提笔忘词君	另类出马我的堂口从零开始	102107	连载	东方玄幻
